Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Media;Total Nacional;;2023;20.676
Media;Total Nacional;;2022;19.160
Media;Total Nacional;;2021;18.103
Media;Total Nacional;;2020;18.116
Media;Total Nacional;;2019;17.287
Media;Total Nacional;;2018;16.937
Media;Total Nacional;;2017;16.390
Media;Total Nacional;;2016;15.842
Media;Total Nacional;;2015;15.408
Media;Total Nacional;;2014;15.405
Media;Total Nacional;;2013;15.635
Media;Total Nacional;;2012;16.119
Media;Total Nacional;;2011;16.280
Media;Total Nacional;;2010;16.922
Media;Total Nacional;;2009;17.042
Media;Total Nacional;;2008;16.190
Media;Total Nacional;01 Andalucía;2023;17.295
Media;Total Nacional;01 Andalucía;2022;15.862
Media;Total Nacional;01 Andalucía;2021;14.769
Media;Total Nacional;01 Andalucía;2020;14.958
Media;Total Nacional;01 Andalucía;2019;13.755
Media;Total Nacional;01 Andalucía;2018;13.977
Media;Total Nacional;01 Andalucía;2017;13.709
Media;Total Nacional;01 Andalucía;2016;12.560
Media;Total Nacional;01 Andalucía;2015;11.862
Media;Total Nacional;01 Andalucía;2014;12.118
Media;Total Nacional;01 Andalucía;2013;12.705
Media;Total Nacional;01 Andalucía;2012;13.391
Media;Total Nacional;01 Andalucía;2011;13.310
Media;Total Nacional;01 Andalucía;2010;14.152
Media;Total Nacional;01 Andalucía;2009;14.393
Media;Total Nacional;01 Andalucía;2008;13.859
Media;Total Nacional;02 Aragón;2023;21.430
Media;Total Nacional;02 Aragón;2022;20.347
Media;Total Nacional;02 Aragón;2021;19.381
Media;Total Nacional;02 Aragón;2020;19.150
Media;Total Nacional;02 Aragón;2019;18.067
Media;Total Nacional;02 Aragón;2018;17.672
Media;Total Nacional;02 Aragón;2017;17.756
Media;Total Nacional;02 Aragón;2016;17.116
Media;Total Nacional;02 Aragón;2015;18.395
Media;Total Nacional;02 Aragón;2014;17.662
Media;Total Nacional;02 Aragón;2013;17.618
Media;Total Nacional;02 Aragón;2012;17.419
Media;Total Nacional;02 Aragón;2011;17.259
Media;Total Nacional;02 Aragón;2010;17.773
Media;Total Nacional;02 Aragón;2009;18.561
Media;Total Nacional;02 Aragón;2008;17.107
Media;Total Nacional;03 Asturias, Principado de;2023;21.660
Media;Total Nacional;03 Asturias, Principado de;2022;19.368
Media;Total Nacional;03 Asturias, Principado de;2021;17.968
Media;Total Nacional;03 Asturias, Principado de;2020;18.028
Media;Total Nacional;03 Asturias, Principado de;2019;17.868
Media;Total Nacional;03 Asturias, Principado de;2018;17.343
Media;Total Nacional;03 Asturias, Principado de;2017;17.547
Media;Total Nacional;03 Asturias, Principado de;2016;17.241
Media;Total Nacional;03 Asturias, Principado de;2015;16.227
Media;Total Nacional;03 Asturias, Principado de;2014;16.011
Media;Total Nacional;03 Asturias, Principado de;2013;15.994
Media;Total Nacional;03 Asturias, Principado de;2012;16.922
Media;Total Nacional;03 Asturias, Principado de;2011;17.080
Media;Total Nacional;03 Asturias, Principado de;2010;18.377
Media;Total Nacional;03 Asturias, Principado de;2009;18.561
Media;Total Nacional;03 Asturias, Principado de;2008;17.383
Media;Total Nacional;04 Balears, Illes;2023;21.143
Media;Total Nacional;04 Balears, Illes;2022;18.576
Media;Total Nacional;04 Balears, Illes;2021;16.867
Media;Total Nacional;04 Balears, Illes;2020;18.787
Media;Total Nacional;04 Balears, Illes;2019;18.420
Media;Total Nacional;04 Balears, Illes;2018;19.554
Media;Total Nacional;04 Balears, Illes;2017;18.312
Media;Total Nacional;04 Balears, Illes;2016;17.894
Media;Total Nacional;04 Balears, Illes;2015;15.894
Media;Total Nacional;04 Balears, Illes;2014;15.729
Media;Total Nacional;04 Balears, Illes;2013;15.427
Media;Total Nacional;04 Balears, Illes;2012;16.317
Media;Total Nacional;04 Balears, Illes;2011;16.568
Media;Total Nacional;04 Balears, Illes;2010;17.076
Media;Total Nacional;04 Balears, Illes;2009;17.548
Media;Total Nacional;04 Balears, Illes;2008;16.496
Media;Total Nacional;05 Canarias;2023;17.940
Media;Total Nacional;05 Canarias;2022;15.901
Media;Total Nacional;05 Canarias;2021;15.294
Media;Total Nacional;05 Canarias;2020;14.990
Media;Total Nacional;05 Canarias;2019;14.247
Media;Total Nacional;05 Canarias;2018;13.546
Media;Total Nacional;05 Canarias;2017;13.161
Media;Total Nacional;05 Canarias;2016;12.993
Media;Total Nacional;05 Canarias;2015;12.932
Media;Total Nacional;05 Canarias;2014;12.505
Media;Total Nacional;05 Canarias;2013;12.688
Media;Total Nacional;05 Canarias;2012;12.477
Media;Total Nacional;05 Canarias;2011;13.127
Media;Total Nacional;05 Canarias;2010;13.905
Media;Total Nacional;05 Canarias;2009;13.612
Media;Total Nacional;05 Canarias;2008;13.418
Media;Total Nacional;06 Cantabria;2023;20.495
Media;Total Nacional;06 Cantabria;2022;19.974
Media;Total Nacional;06 Cantabria;2021;18.659
Media;Total Nacional;06 Cantabria;2020;18.578
Media;Total Nacional;06 Cantabria;2019;17.742
Media;Total Nacional;06 Cantabria;2018;16.400
Media;Total Nacional;06 Cantabria;2017;16.199
Media;Total Nacional;06 Cantabria;2016;15.484
Media;Total Nacional;06 Cantabria;2015;15.159
Media;Total Nacional;06 Cantabria;2014;14.137
Media;Total Nacional;06 Cantabria;2013;14.426
Media;Total Nacional;06 Cantabria;2012;15.211
Media;Total Nacional;06 Cantabria;2011;15.447
Media;Total Nacional;06 Cantabria;2010;16.456
Media;Total Nacional;06 Cantabria;2009;18.108
Media;Total Nacional;06 Cantabria;2008;16.727
Media;Total Nacional;07 Castilla y León;2023;20.109
Media;Total Nacional;07 Castilla y León;2022;19.117
Media;Total Nacional;07 Castilla y León;2021;18.181
Media;Total Nacional;07 Castilla y León;2020;18.284
Media;Total Nacional;07 Castilla y León;2019;17.233
Media;Total Nacional;07 Castilla y León;2018;17.264
Media;Total Nacional;07 Castilla y León;2017;16.300
Media;Total Nacional;07 Castilla y León;2016;15.645
Media;Total Nacional;07 Castilla y León;2015;15.284
Media;Total Nacional;07 Castilla y León;2014;15.080
Media;Total Nacional;07 Castilla y León;2013;15.743
Media;Total Nacional;07 Castilla y León;2012;15.909
Media;Total Nacional;07 Castilla y León;2011;15.918
Media;Total Nacional;07 Castilla y León;2010;16.100
Media;Total Nacional;07 Castilla y León;2009;16.415
Media;Total Nacional;07 Castilla y León;2008;15.533
Media;Total Nacional;08 Castilla - La Mancha;2023;17.634
Media;Total Nacional;08 Castilla - La Mancha;2022;16.404
Media;Total Nacional;08 Castilla - La Mancha;2021;15.350
Media;Total Nacional;08 Castilla - La Mancha;2020;15.802
Media;Total Nacional;08 Castilla - La Mancha;2019;14.505
Media;Total Nacional;08 Castilla - La Mancha;2018;14.305
Media;Total Nacional;08 Castilla - La Mancha;2017;13.604
Media;Total Nacional;08 Castilla - La Mancha;2016;13.106
Media;Total Nacional;08 Castilla - La Mancha;2015;12.725
Media;Total Nacional;08 Castilla - La Mancha;2014;12.824
Media;Total Nacional;08 Castilla - La Mancha;2013;12.673
Media;Total Nacional;08 Castilla - La Mancha;2012;13.307
Media;Total Nacional;08 Castilla - La Mancha;2011;13.720
Media;Total Nacional;08 Castilla - La Mancha;2010;15.130
Media;Total Nacional;08 Castilla - La Mancha;2009;14.712
Media;Total Nacional;08 Castilla - La Mancha;2008;13.898
