CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
Andalucia,2008,19.684,134.534,13859,2574931.0,4438185.0,1188176.0,9.707338191788729,18458.75494925079,54.115680797610906
Andalucia,2009,18.031,130.162,14393,2634400.0,4451302.0,1216162.0,9.043423886611548,20927.404942949128,53.618103115155826
Andalucia,2010,19.261,128.108,14152,2701489.0,4426208.0,1242044.0,9.052289429055964,19262.952538399106,52.88345242702254
Andalucia,2011,20.192,120.476,13310,2760619.0,4390823.0,1271275.0,9.051540195341849,17281.545687713733,52.130719814045754
Andalucia,2012,20.355,106.267,13391,2824494.0,4331476.0,1292435.0,7.935703084161004,17247.484735419974,51.26974855017012
Andalucia,2013,20.02,96.923,12705,2870332.0,4257795.0,1310452.0,7.628728846910665,16637.74493927125,50.45630312876137
Andalucia,2014,19.405,97.077,12118,2894215.0,4179370.0,1326811.0,8.010975408483247,16371.978551377151,49.752059307680256
Andalucia,2015,19.428,100.0,11862,2928388.0,4118941.0,1349621.0,8.430281571404485,16007.13806443223,49.052822751117965
Andalucia,2016,19.476,102.842,12560,2965534.0,4062793.0,1357646.0,8.188057324840765,16907.279782944726,48.447484865501
Andalucia,2017,20.457,106.101,13709,2989295.0,4013550.0,1374723.0,7.739514187759866,17569.026471443307,47.90829510425937
Andalucia,2018,20.78,111.37,13977,3010938.0,3973288.0,1397922.0,7.968090434284897,17634.058933184737,47.40178770405868
Andalucia,2019,20.486,117.358,13755,3036286.0,3949311.0,1426237.0,8.53202471828426,17603.024453156708,46.94946429042703
Andalucia,2020,20.064,120.098,14958,3074413.0,3931474.0,1455927.0,8.029014574140929,19545.18905817174,46.46136159457062
Andalucia,2021,22.541,125.598,14769,3096482.0,3893188.0,1479979.0,8.504164127564493,17177.571993957205,45.966344059830575
Andalucia,2022,26.218,136.786,15862,3125848.0,3860523.0,1510891.0,8.623502710881352,15861.426838130488,45.43255227389717
Aragon,2008,19.934,171.55,17107,436770.0,630426.0,259426.0,10.028058689425382,22499.00267725599,47.52114769693251
Aragon,2009,18.14,156.466,18561,446484.0,637429.0,261239.0,8.429825979203708,26825.507932455166,47.38713543153488
Aragon,2010,19.306,147.964,17773,453803.0,629838.0,263119.0,8.325212400832724,24135.27796648982,46.76690724405239
Aragon,2011,20.289,135.826,17259,459336.0,620842.0,265738.0,7.869864997972072,22301.74534814042,46.12784155920578
Aragon,2012,20.534,116.262,17419,466632.0,614922.0,267510.0,6.674435960732533,22239.935706120268,45.581380868513286
Aragon,2013,20.15,101.492,17618,472232.0,605251.0,269204.0,5.7606992848223415,22922.68155152148,44.943702582708525
Aragon,2014,19.531,99.157,17662,469046.0,584146.0,271700.0,5.614143358623033,23708.23734468011,44.09008432385432
Aragon,2015,19.427,100.0,18395,469777.0,573823.0,273730.0,5.436259853220984,24824.35183805501,43.55954848063887
Aragon,2016,19.5,101.896,17116,470187.0,563329.0,274524.0,5.953260107501753,23011.849889338726,43.06664933794074
Aragon,2017,20.41,104.788,17756,471235.0,560866.0,276107.0,5.901554404145077,22807.936625493174,42.87284590829593
Aragon,2018,20.911,109.838,17672,471001.0,558853.0,278324.0,6.215368945224083,22156.173980453495,42.719950954686595
Aragon,2019,20.675,116.514,18067,474921.0,563061.0,280741.0,6.448995405988819,22909.963235537445,42.69744290499218
Aragon,2020,19.938,119.488,19150,479707.0,565670.0,283403.0,6.2395822454308085,25180.888649550445,42.57062869700026
Aragon,2021,22.786,124.019,19381,481455.0,559688.0,284503.0,6.3989990196584285,22299.33718303482,42.22001952255731
Aragon,2022,26.476,131.96,20347,483698.0,554242.0,287687.0,6.4854769744925544,20147.99704995984,41.80980019266355
Asturias,2008,19.853,145.647,17383,390372.0,456534.0,233008.0,8.378703330840477,22955.272547964374,42.275033011887984
Asturias,2009,18.068,144.298,18561,396310.0,454079.0,234616.0,7.774257852486397,26932.4061265628,41.85040621932618
Asturias,2010,19.374,142.196,18377,401472.0,446146.0,236433.0,7.737715622789356,24867.904212373607,41.15544379369605
Asturias,2011,20.51,134.026,17080,404350.0,437621.0,239207.0,7.8469555035128815,21832.630860427515,40.47631379846797
Asturias,2012,20.524,114.536,16922,406319.0,429012.0,241680.0,6.768467084268999,21615.911354101485,39.833576444437426
Asturias,2013,20.242,100.764,15994,406931.0,417303.0,243523.0,6.300112542203325,20715.123989204305,39.08220690662763
Asturias,2014,19.591,98.511,16011,406308.0,407989.0,247045.0,6.152707513584411,21426.227843612392,38.44086072161471
Asturias,2015,19.525,100.0,16227,403892.0,397213.0,249653.0,6.162568558575214,21788.686968124533,37.802519704822615
Asturias,2016,19.687,101.418,17241,401638.0,389261.0,251235.0,5.8823734122150695,22959.729995481917,37.35229826490643
Asturias,2017,20.538,102.536,17547,399205.0,382126.0,253157.0,5.843506012423776,22398.99807801712,36.93865951079181
Asturias,2018,20.939,106.123,17343,395787.0,376165.0,255825.0,6.119068211958715,21714.61596969643,36.59986553503337
Asturias,2019,20.598,110.56,17868,392809.0,370524.0,258955.0,6.187597940452205,22742.31946893157,36.24458078349741
Asturias,2020,20.004,114.072,18028,391379.0,364652.0,262191.0,6.3274905702240964,23627.325776949867,35.812622394723356
Asturias,2021,22.543,118.807,17968,389823.0,357089.0,264258.0,6.612143811219946,20896.420249488106,35.314437730549756
Asturias,2022,26.181,126.182,19368,387272.0,348666.0,268062.0,6.514973151590252,19394.67076767201,34.72768924302789
Baleares,2008,19.359,137.526,16496,354034.0,574222.0,144458.0,8.336930164888457,22339.816117078677,53.52983180978341
Baleares,2009,17.947,126.278,17548,365139.0,581252.0,148896.0,7.196147709140643,25634.191763467283,53.06846516027306
Baleares,2010,18.978,123.73,17076,374336.0,578399.0,153158.0,7.245842117591942,23589.545301762144,52.301533692680934
Baleares,2011,19.831,116.98,16568,382896.0,572825.0,157222.0,7.060598744567842,21903.289193686647,51.46939241272913
Baleares,2012,20.277,100.789,16317,389829.0,568324.0,161116.0,6.176932034074891,21096.989090569296,50.77635492450876
Baleares,2013,19.906,93.58,15427,390328.0,559676.0,161494.0,6.065988202502107,20318.018233063816,50.35330697851008
Baleares,2014,19.508,93.987,15729,389419.0,551824.0,162017.0,5.975395765782948,21138.405825410355,50.01758425031271
Baleares,2015,19.607,100.0,15894,392655.0,546666.0,164956.0,6.291682395872656,21252.299409716717,49.504426878400984
Baleares,2016,19.476,106.176,17894,396860.0,543417.0,166713.0,5.933609030960098,24087.48920668893,49.08960333878355
Baleares,2017,20.592,114.627,18312,402067.0,544441.0,169247.0,6.259665792922673,23314.23211875843,48.79574817052131
Baleares,2018,20.766,123.185,19554,408227.0,547504.0,172938.0,6.299734069755549,24686.90393710366,48.508818794527
Baleares,2019,20.559,130.597,18420,417076.0,555488.0,176633.0,7.089956568946797,23489.377376024324,48.33705622273639
Baleares,2020,19.961,135.899,18787,427375.0,562810.0,181087.0,7.233672220152234,24675.104843919322,48.051178547766874
Baleares,2021,22.586,143.803,16867,431578.0,556017.0,185096.0,8.525701073101322,19578.633965148412,47.41376884447821
